"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"University of California-Santa Barbara - California",28,27,27,28,27,26,26,24,24,24,23,23,22,22
"University of Pittsburgh-Pittsburgh Campus - Pennsylvania",28,28,28,27,27,26,26,26,25,25,25,24,24,24
"United States Naval Academy - Maryland",28,26,26,,,,,,,,,,,
"United States Military Academy - New York",28,25,27,23,26,26,26,27,25,25,25,26,25,25
"University of North Carolina at Chapel Hill - North Carolina",28,28,29,28,28,28,28,28,27,27,28,26,25,25
"Union College - New York",28,27,,,,,,28,,,,,,24
"Denison University - Ohio",28,27,28,28,28,,,27,27,27,27,25,28,26
"Wheaton College (Massachusetts) - Massachusetts",28,,27,26,,,,,,,,,,
"Trinity University - Texas",28,29,27,27,27,27,27,26,26,26,27,27,27,26
"Lafayette College - Pennsylvania",28,28,27,28,27,27,27,27,27,26,26,26,25,24
"St Lawrence University - New York",28,26,27,26,,,,,,,,,,
"Occidental College - California",28,28,28,27,28,28,27,27,28,27,28,27,,26
"Rochester Institute of Technology - New York",28,27,27,26,26,26,26,25,25,25,25,24,24,
"Oberlin College - Ohio",28,29,29,28,29,29,28,28,28,28,28,27,26,27
"University of Miami - Florida",28,29,29,28,28,28,28,28,28,28,27,27,27,26
"Skidmore College - New York",27,28,27,27,26,26,25,26,26,26,26,26,25,25
"University of Washington-Seattle Campus - Washington",27,27,27,27,26,26,25,25,24,24,24,23,23,23
"United States Coast Guard Academy - Connecticut",27,25,25,26,26,26,26,25,25,25,24,27,27,25
"Clark University - Massachusetts",27,,,,,,,,,,24,24,24,23
"Holy Cross College - Indiana",27,25,23,22,19,19,18,19,19,19,18,20,20,
"Sarah Lawrence College - New York",27,28,27,27,27,,,,,,,,,
"American University - Washington DC",27,27,27,26,26,26,26,26,26,26,26,25,25,25
"Providence College - Rhode Island",27,27,26,26,23,,,23,23,23,23,23,23,23
"University of Connecticut - Connecticut",27,26,26,26,26,26,26,25,26,25,24,24,23,23
"Rhode Island School of Design - Rhode Island",27,26,26,25,24,25,27,24,,24,22,22,,
"Rhodes College - Tennessee",27,27,28,27,27,27,27,27,26,26,26,26,25,25
"University of Illinois Urbana-Champaign - Illinois",27,26,26,26,26,26,26,26,26,26,26,26,26,26
"Fordham University - New York",27,28,28,27,27,27,26,26,26,26,26,25,25,24
"Florida State University - Florida",27,26,26,26,25,25,26,25,25,25,24,24,23,23
"Florida Polytechnic University - Florida",27,27,27,25,23,23,23,,,,,,,
"Fairfield University - Connecticut",27,26,,,,,,,,,23,23,23,
"University of Massachusetts-Amherst - Massachusetts",27,26,26,26,25,25,24,24,24,24,23,22,22,22
"Emerson College - Massachusetts",27,27,26,26,25,25,26,26,26,25,24,25,25,24
"Clemson University - South Carolina",27,27,27,27,26,27,26,26,25,26,25,25,24,24
"Lewis & Clark College - Oregon",27,27,,27,27,,,26,,27,27,27,26,26
"Rose-Hulman Institute of Technology - Indiana",27,27,28,27,27,28,27,27,27,27,26,26,27,27
"Southern California Institute of Architecture - California",27,,,,,24,20,19,21,,,,,22
"Babson College - Massachusetts",27,27,28,27,27,27,26,26,26,27,25,25,25,25
"North Carolina State University at Raleigh - North Carolina",27,27,27,26,26,26,26,25,23,23,22,22,21,23
"Mount Holyoke College - Massachusetts",27,,29,29,,,,,,,,,,
"University of Wisconsin-Madison - Wisconsin",27,27,27,27,27,27,26,26,26,26,26,26,26,26
"Loyola Marymount University - California",27,27,27,26,26,25,25,25,24,24,24,23,22,23
"Texas A & M University-College Station - Texas",26,26,25,25,24,25,24,23,24,24,24,23,23,23
"Hobart William Smith Colleges - New York",26,26,25,25,26,,,,,,,,,23
"Pepperdine University - California",26,27,26,26,26,25,25,,,,,,,
"Illinois Institute of Technology - Illinois",26,26,26,25,26,25,25,25,24,24,25,25,25,25
"Wheaton College - Illinois",26,26,27,27,27,27,27,27,27,27,27,27,27,27
"Bentley University - Massachusetts",26,27,28,27,25,26,26,26,25,25,25,25,24,23
"University of Denver - Colorado",26,26,26,25,26,26,25,25,25,25,24,24,23,22
"CUNY Bernard M Baruch College - New York",26,,,,,,,,,,,,,
"University of Florida-Online - Florida",26,24,23,24,23,24,24,,,,,,,
"University of California-Irvine - California",26,24,25,25,24,24,23,21,21,23,23,22,22,22
"Soka University of America - California",26,26,25,27,26,24,24,25,24,23,24,,18,
"California Polytechnic State University-San Luis Obispo - California",26,26,26,26,26,26,25,25,25,25,24,23,23,23
"Brigham Young University - Utah",26,26,26,27,27,27,27,26,26,26,25,25,25,25
"Centre College - Kentucky",26,26,27,26,26,26,26,26,26,26,26,26,26,25
"The University of Texas at Dallas - Texas",26,26,25,26,25,25,25,25,26,25,24,24,24,24
"Lawrence University - Wisconsin",26,25,27,25,26,,,,,,,,,
"Muhlenberg College - Pennsylvania",26,26,26,25,26,,,25,23,25,26,26,24,26
"Stony Brook University - New York",26,26,26,26,26,26,26,26,25,25,24,24,,
"Missouri University of Science and Technology - Missouri",26,26,25,25,25,25,26,25,26,25,25,25,25,24
"The University of Texas at Austin - Texas",26,27,27,26,26,26,26,25,25,25,24,24,21,23
"University of Vermont - Vermont",26,26,26,25,25,25,24,24,24,24,24,23,23,22
"Ohio State University-Main Campus - Ohio",26,28,27,27,27,27,27,27,26,26,25,25,25,24
"The New School - New York",26,25,24,24,23,,22,22,22,22,21,22,21,21
"St Olaf College - Minnesota",25,26,25,25,26,26,26,26,26,27,26,27,26,25
"University of California-Santa Cruz - California",25,26,26,26,25,25,23,20,21,21,22,21,21,21
"Conception Seminary College - Missouri",25,13,21,18,20,21,19,22,21,21,19,20,20,19
"Rutgers University-New Brunswick - New Jersey",25,25,25,,,,,,,,,,,
"Albany College of Pharmacy and Health Sciences - New York",25,23,24,23,23,24,23,24,24,24,25,22,24,22
"Texas Christian University - Texas",25,25,26,25,25,25,24,25,25,24,23,23,23,23
"Elon University - North Carolina",25,25,25,25,25,25,25,23,25,25,25,24,24,23
"Bryant University - Rhode Island",25,25,,,,,,23,22,22,23,22,23,21
"University of Minnesota-Twin Cities - Minnesota",25,26,26,26,26,26,26,26,25,25,24,24,24,23
"University of Central Florida - Florida",25,25,25,24,24,24,24,23,24,24,23,23,23,22
"Pratt Institute-Main - New York",25,24,25,24,24,23,24,23,23,23,22,22,22,20
"New College of Florida - Florida",25,25,26,25,26,27,26,27,26,27,27,27,26,26
"University of Colorado Boulder - Colorado",25,25,25,25,25,24,24,24,23,24,24,24,23,23
"Saint Louis University - Missouri",25,25,25,25,25,25,25,25,25,25,25,24,24,22
"Purdue University-Main Campus - Indiana",25,25,25,25,25,25,24,24,24,24,23,23,23,22
"University of Delaware - Delaware",25,24,25,25,22,24,24,24,24,24,24,24,,23
"Drexel University - Pennsylvania",25,25,25,24,25,25,23,24,24,24,,23,23,20
"Gonzaga University - Washington",25,25,25,26,25,25,25,25,24,24,24,24,23,23
"CUNY Hunter College - New York",25,,,,,,,,,,,,,
"New Jersey Institute of Technology - New Jersey",25,24,25,24,23,23,23,22,22,,,,,
"Michigan Technological University - Michigan",25,25,24,25,25,24,25,24,24,23,23,23,23,22
"Milwaukee School of Engineering - Wisconsin",25,25,25,25,25,25,25,25,24,24,24,23,23,23
"Saint Anselm College - New Hampshire",25,23,24,24,23,,,23,,,20,21,22,20
"Virginia Polytechnic Institute and State University - Virginia",25,25,25,25,,,,,,,,,,
"The University of Tennessee-Knoxville - Tennessee",25,24,25,24,24,24,24,24,24,24,24,23,24,23
"Mercer University - Georgia",25,25,25,25,25,24,25,23,23,24,24,23,23,22
"Marquette University - Wisconsin",25,24,24,24,24,24,25,25,24,24,24,24,24,24
"Kettering University - Michigan",25,24,25,24,25,24,25,24,24,24,24,24,24,24
"The King's College - New York",25,23,24,24,24,24,23,24,22,24,24,25,,
"Loyola University Chicago - Illinois",25,25,25,24,24,24,25,24,25,25,24,24,23,23
"Ursinus College - Pennsylvania",25,24,23,24,,,,24,24,,24,25,22,22
"University of California-Davis - California",25,24,24,25,25,25,25,23,23,23,22,21,21,21
"United States Merchant Marine Academy - New York",25,27,27,26,26,,,,,,,,,
"Chapman University - California",25,25,25,25,25,25,25,24,25,24,25,25,25,24
"University of South Florida - Florida",25,25,25,24,24,24,23,23,23,23,22,23,22,22
"University of South Carolina-Columbia - South Carolina",25,25,25,25,25,25,25,24,24,24,24,23,23,22
"Auburn University - Alabama",25,25,25,24,24,24,24,24,24,24,23,23,22,22
"The University of the South - Tennessee",25,25,,,,,,26,26,26,26,26,25,25
"Thomas Aquinas College - California",25,26,25,25,25,28,24,23,25,25,25,26,25,25
"Patrick Henry College - Virginia",25,26,,,,,,,,,,,,
"Butler University - Indiana",25,24,25,25,25,25,25,25,25,25,25,25,24,25
"Seton Hall University - New Jersey",25,24,24,24,23,23,23,22,22,21,20,22,,21
"The Pennsylvania State University - Pennsylvania",24,,,,,,,,,,,,,
"University of New Hampshire-Main Campus - New Hampshire",24,22,22,23,22,22,22,,,,,,,21
"George Mason University - Virginia",24,24,24,24,24,23,23,24,23,23,23,23,21,20
"Robert Morris University - Pennsylvania",24,21,21,21,21,20,20,21,20,20,20,19,19,18
"University of Health Sciences and Pharmacy in St. Louis - Missouri",24,24,24,24,24,24,24,25,25,25,25,108,25,24
"Seattle University - Washington",24,24,24,24,25,25,24,24,24,24,23,22,23,22
"Earlham College - Indiana",24,23,26,25,,,,26,,24,24,24,24,24
"University of Maryland-Baltimore County - Maryland",24,24,24,24,24,24,24,24,24,24,22,22,22,22
"Truman State University - Missouri",24,24,24,24,24,25,24,25,24,25,25,25,25,25
"Indiana University-Bloomington - Indiana",24,24,24,25,24,24,24,24,24,24,24,23,23,22
"Miami University-Oxford - Ohio",24,25,25,26,26,26,25,25,24,24,24,24,24,24
"Simmons University - Massachusetts",24,23,24,24,24,24,24,23,23,22,21,22,21,22
"University of San Francisco - California",24,23,23,22,23,24,23,23,22,23,22,22,22,22
"The College of New Jersey - New Jersey",24,25,25,,25,26,24,,25,24,,,,
"Illinois Wesleyan University - Illinois",24,24,24,24,25,25,25,25,25,25,26,26,26,26
"State University of New York at New Paltz - New York",24,23,24,23,23,23,23,23,23,23,,,23,
"DigiPen Institute of Technology - Washington",24,25,24,25,26,26,25,25,26,23,24,25,24,22
"Grove City College - Pennsylvania",24,23,24,23,23,24,24,24,24,25,25,26,25,26
"SUNY College of Environmental Science and Forestry - New York",24,23,23,24,23,25,24,23,25,23,23,21,22,21
"Allegheny College - Pennsylvania",24,24,24,23,,,23,23,24,23,23,23,24,23
"South Dakota School of Mines and Technology - South Dakota",24,24,24,24,24,24,24,24,24,24,24,24,23,23
"Clarkson University - New York",24,23,24,24,24,24,24,24,23,23,23,24,23,22
"Yeshiva University - New York",24,24,22,23,23,24,23,23,23,23,22,23,21,23
"Westmont College - California",24,21,23,23,23,23,23,24,24,23,23,24,23,24
"Transylvania University - Kentucky",24,23,24,,,,25,24,24,24,23,23,23,23
"Florida Southern College - Florida",24,24,23,24,24,24,23,22,22,22,20,20,20,19
"University of Alabama in Huntsville - Alabama",24,25,25,25,25,24,24,23,22,22,22,22,22,21
"SUNY at Purchase College - New York",24,23,21,20,20,22,19,21,21,21,21,22,21,22
"SUNY College at Geneseo - New York",24,23,24,24,25,25,25,27,27,27,28,28,28,27
"Louisiana State University and Agricultural & Mechanical College - Louisiana",23,23,23,23,23,23,23,23,23,23,23,23,23,23
"University of Mary Washington - Virginia",23,23,22,22,22,22,22,22,22,22,23,23,23,23
"Embry-Riddle Aeronautical University-Prescott - Arizona",23,,,23,,,,23,23,23,21,22,22,22
"Florida Institute of Technology - Florida",23,24,25,24,24,24,23,23,22,21,23,22,22,22
"St. John's University-New York - New York",23,23,23,22,22,22,22,21,21,21,,,,
"Embry-Riddle Aeronautical University-Daytona Beach - Florida",23,,,22,,,,21,21,21,21,21,21,21
"University of Massachusetts-Lowell - Massachusetts",23,24,24,24,24,23,22,22,21,21,,,,
"The King's University - Texas",23,21,20,21,22,20,19,,,,,,,
"Emmanuel College - Massachusetts",23,21,24,24,23,,22,21,22,21,20,20,,19
"The University of Alabama - Alabama",23,23,23,23,23,22,22,22,22,22,21,21,21,21
"Hope College - Michigan",23,23,23,24,23,24,23,24,23,24,23,23,23,23
"James Madison University - Virginia",23,23,23,23,22,23,25,23,23,23,22,22,21,21
"Luther College - Iowa",23,22,23,23,23,23,23,23,23,24,23,23,22,22
"School of Visual Arts - New York",23,21,23,21,21,20,18,19,19,21,19,19,20,20
"University of Arkansas - Arkansas",23,23,23,23,23,23,23,23,23,23,23,23,23,22
"Point Loma Nazarene University - California",23,24,24,23,23,23,23,23,23,23,21,22,21,21
"Samford University - Alabama",23,23,23,23,23,23,23,23,23,23,21,22,22,23
"Southwestern University - Texas",23,23,23,23,23,23,23,22,24,25,25,24,24,23
"New York Institute of Technology - New York",23,22,22,21,22,21,21,20,20,19,19,20,19,19
"University of Cincinnati-Main Campus - Ohio",23,23,24,23,23,23,23,22,22,22,22,21,21,21
"Messiah University - Pennsylvania",23,23,23,22,22,21,22,23,21,22,23,22,22,22
"Hanover College - Indiana",23,21,22,22,22,22,23,23,22,22,22,22,22,23
"University at Buffalo - New York",23,24,24,24,24,24,24,23,24,23,23,23,23,23
"University of Dayton - Ohio",23,23,24,24,24,24,24,24,24,24,23,23,23,23
"Saint Joseph's University - Pennsylvania",23,23,23,23,23,,,22,22,22,21,22,23,23
"Georgia College & State University - Georgia",23,23,23,23,22,23,23,22,23,22,22,21,21,20
"New Mexico Institute of Mining and Technology - New Mexico",23,23,23,23,23,23,23,23,23,23,23,23,23,23
"Michigan State University - Michigan",23,23,23,23,24,23,23,23,23,23,23,23,23,22
"Florida International University - Florida",23,23,23,22,23,22,22,24,23,21,22,22,21,21
"St. Mary's College of Maryland - Maryland",23,21,23,22,23,22,23,25,25,24,24,28,,
"University of Dallas - Texas",23,24,23,24,23,24,24,24,23,24,23,24,24,24
"Wentworth Institute of Technology - Massachusetts",23,22,22,22,21,22,22,21,21,21,20,,,
"Cedarville University - Ohio",23,23,23,23,23,23,23,24,23,24,23,23,23,23
"University of St Thomas - Minnesota",23,24,24,24,24,24,16,23,23,23,23,23,23,22
"Calvin University - Michigan",23,24,24,23,23,23,23,23,24,23,23,23,23,23
"University of Scranton - Pennsylvania",23,24,23,23,23,22,22,22,22,22,22,,,
"University of Rhode Island - Rhode Island",23,23,21,22,22,22,22,22,21,21,21,20,20,
"University of Portland - Oregon",23,23,23,23,,,,,,,,,,
"Colorado State University-Fort Collins - Colorado",23,23,23,22,23,22,22,22,22,22,22,22,22,22
"University of Oklahoma-Norman Campus - Oklahoma",23,23,23,23,23,24,23,23,23,23,23,23,23,23
"Bay Path University - Massachusetts",23,19,,20,19,,17,18,17,20,16,17,18,18
"Cornell College - Iowa",23,23,23,23,23,23,23,23,24,23,24,24,24,23
"University of North Carolina Wilmington - North Carolina",23,22,23,23,22,23,22,22,22,22,22,21,21,21
"CUNY City College - New York",23,,,,,,,,,,,,,
"Belmont University - Tennessee",23,24,24,24,24,23,23,24,24,24,23,23,23,23
"Drake University - Iowa",23,24,24,24,25,24,25,25,24,25,24,24,24,23
"Duquesne University - Pennsylvania",23,23,24,24,24,23,23,22,22,23,23,22,22,21
"University of Tulsa - Oklahoma",23,24,25,25,26,26,26,25,25,24,25,25,24,23
"University of Missouri-Columbia - Missouri",23,23,23,23,23,24,23,23,23,23,23,23,23,23
"Wabash College - Indiana",22,23,23,23,23,22,22,,22,22,21,22,21,23
"Milligan University - Tennessee",22,22,22,23,22,22,,,,,,,,
"Roberts Wesleyan College - New York",22,19,20,21,21,20,20,20,20,23,21,20,20,19
"The University of Tampa - Florida",22,23,22,22,22,22,22,21,22,21,21,21,21,21
"University of Oregon - Oregon",22,22,22,22,22,22,22,22,21,22,,,,
"High Point University - North Carolina",22,22,22,21,21,22,21,21,22,21,20,20,19,18
"Lipscomb University - Tennessee",22,23,22,23,22,23,23,22,22,22,21,21,21,21
"Eastern Mennonite University - Virginia",22,19,21,20,20,18,18,18,19,21,22,18,21,21
"Long Island University - New York",22,22,21,21,21,19,18,19,20,19,19,18,18,18
"University of Mississippi - Mississippi",22,21,21,22,22,21,21,21,21,20,20,20,20,20
"Pace University - New York",22,21,22,21,21,21,20,21,,,,,,21
"Louisiana Tech University - Louisiana",22,22,22,22,21,21,21,21,21,21,20,20,20,19
"Pacific University - Oregon",22,20,21,22,22,21,21,21,21,21,21,18,21,20
"The College of Saint Scholastica - Minnesota",22,22,20,19,21,20,21,21,21,18,21,20,20,20
"Xavier University - Ohio",22,22,22,22,23,22,22,23,23,22,23,23,23,23
"Lyon College - Arkansas",22,21,21,22,22,22,22,22,23,23,22,22,22,23
"Appalachian State University - North Carolina",22,22,23,23,23,23,23,24,22,22,22,21,20,20
"Covenant College - Georgia",22,23,23,24,24,24,23,23,23,23,22,21,21,21
"Antioch College - Ohio",22,,26,,,,,,,,,,,
"San Diego State University - California",22,22,22,23,23,22,22,21,21,21,20,20,19,20
"Howard University - Washington DC",22,22,22,22,22,21,21,21,21,20,19,19,20,20
"University of California-Riverside - California",22,23,23,23,21,23,22,20,19,19,19,18,18,18
"University of Wisconsin-La Crosse - Wisconsin",22,23,23,22,23,23,23,23,23,23,23,23,23,23
"LeTourneau University - Texas",22,22,21,21,22,22,22,22,22,22,22,22,22,21
"Westminster College - Utah",22,19,21,21,22,22,22,22,22,22,22,21,21,21
"Oglethorpe University - Georgia",22,22,22,22,22,22,22,22,22,22,23,22,22,22
"University of the Sciences - Pennsylvania",22,23,23,24,23,22,24,23,23,23,22,23,23,22
"University of Michigan-Dearborn - Michigan",22,22,23,22,22,21,21,22,21,21,21,21,21,21
"Centenary College of Louisiana - Louisiana",22,22,21,22,22,21,21,22,23,21,22,22,22,22
"University of the Pacific - California",22,23,22,22,23,22,23,22,23,23,23,22,23,22
"Ohio Northern University - Ohio",22,23,22,22,23,23,23,23,23,24,23,23,23,23
"Union University - Tennessee",22,22,23,23,23,22,22,22,22,23,22,21,22,21
"Western Washington University - Washington",22,22,22,22,23,22,22,22,22,22,21,21,21,21
"John Carroll University - Ohio",22,22,22,22,22,22,22,22,22,22,21,21,21,21
"John Brown University - Arkansas",22,23,23,24,23,24,,22,22,22,22,20,21,22
"Austin College - Texas",22,24,22,23,23,22,22,23,23,24,24,23,23,23
"Knox College - Illinois",22,24,,,,,,,,,26,,27,
"Oklahoma City University - Oklahoma",22,22,23,23,22,22,23,23,23,23,23,22,22,22
"Carroll College - Montana",22,21,22,22,22,22,22,22,22,22,21,21,21,21
"Millsaps College - Mississippi",22,21,22,22,23,23,23,23,23,23,23,23,23,23
"University of Alabama at Birmingham - Alabama",22,22,21,21,21,22,21,22,21,21,21,21,21,21
"Augustana University - South Dakota",22,23,23,23,23,23,23,21,23,23,22,22,22,
"Mississippi State University - Mississippi",22,22,22,21,21,21,21,20,20,20,20,20,20,20
"University of Saint Joseph - Connecticut",22,,,19,,16,19,18,,22,18,,,17
"Birmingham-Southern College - Alabama",22,22,23,23,23,23,24,23,23,23,23,23,23,23
"University of Utah - Utah",22,22,22,22,21,21,21,21,21,21,21,21,21,21
"University of North Carolina School of the Arts - North Carolina",22,21,22,22,22,21,22,20,22,19,20,19,21,21
"School of the Art Institute of Chicago - Illinois",22,22,22,22,22,22,18,18,21,22,21,21,,20
"Texas Tech University - Texas",22,22,22,22,22,23,22,22,22,22,21,22,21,21
"Valparaiso University - Indiana",22,22,23,23,23,23,23,23,23,23,22,22,22,22
"DePauw University - Indiana",22,23,23,24,24,25,25,25,24,24,24,25,25,25
"University of Houston - Texas",22,22,22,23,23,23,22,22,21,21,20,19,19,19
"Marywood University - Pennsylvania",22,22,21,19,,,,,,20,,,,
"DeSales University - Pennsylvania",22,21,22,22,22,21,21,22,20,20,20,19,19,18
"Nebraska Wesleyan University - Nebraska",22,22,21,22,21,22,22,22,23,23,23,23,22,22
"Franciscan University of Steubenville - Ohio",22,22,22,23,22,23,23,23,22,23,23,22,22,22
"St. Joseph's University-New York - New York",22,20,19,18,20,19,20,21,20,20,17,,,21
"University of Nebraska-Lincoln - Nebraska",22,22,22,22,22,22,22,22,22,22,22,22,22,22
"Saint Johns University - Minnesota",22,22,22,22,22,23,23,23,23,22,23,23,23,23
"University of Iowa - Iowa",22,22,23,23,23,23,23,25,22,23,23,23,23,23
